"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"222","CD70","CD27",66.1309523809524,8,648.089285714286,7,"checkpoint"
"221","CD70","CD27",66.1309523809524,8,642.982142857143,8,"checkpoint"
"725","LGALS9","HAVCR2",47.71875,6,875.589285714286,8,"checkpoint"
"10","BTLA","CD247",84.0178571428571,7,490.738095238095,7,"checkpoint"
"726","LGALS9","HAVCR2",47.71875,6,816.041666666667,7,"checkpoint"
"223","CD70","CD27",66.1309523809524,8,577.45,6,"checkpoint"
"357","TNFSF4","TRAF2",407.714285714286,8,91.8928571428571,8,"checkpoint"
"717","LGALS9","HAVCR2",42.4642857142857,7,875.589285714286,8,"checkpoint"
"224","CD70","CD27",66.1309523809524,8,536.820627802691,5,"checkpoint"
"727","LGALS9","HAVCR2",47.71875,6,735.2625,6,"checkpoint"
"718","LGALS9","HAVCR2",42.4642857142857,7,816.041666666667,7,"checkpoint"
"9","BTLA","CD247",84.0178571428571,7,406.589285714286,8,"checkpoint"
"709","LGALS9","HAVCR2",37.7261904761905,8,875.589285714286,8,"checkpoint"
"2","BTLA","CD247",66.8571428571429,8,490.738095238095,7,"checkpoint"
"11","BTLA","CD247",84.0178571428571,7,389.73125,6,"checkpoint"
"728","LGALS9","HAVCR2",47.71875,6,659.807174887892,5,"checkpoint"
"719","LGALS9","HAVCR2",42.4642857142857,7,735.2625,6,"checkpoint"
"710","LGALS9","HAVCR2",37.7261904761905,8,816.041666666667,7,"checkpoint"
"12","BTLA","CD247",84.0178571428571,7,345.717488789238,5,"checkpoint"
"733","LGALS9","HAVCR2",32.0089686098655,5,875.589285714286,8,"checkpoint"
"720","LGALS9","HAVCR2",42.4642857142857,7,659.807174887892,5,"checkpoint"
"711","LGALS9","HAVCR2",37.7261904761905,8,735.2625,6,"checkpoint"
"358","TNFSF4","TRAF2",407.714285714286,8,67.6369047619048,7,"checkpoint"
"1","BTLA","CD247",66.8571428571429,8,406.589285714286,8,"checkpoint"
"734","LGALS9","HAVCR2",32.0089686098655,5,816.041666666667,7,"checkpoint"
"3","BTLA","CD247",66.8571428571429,8,389.73125,6,"checkpoint"
"712","LGALS9","HAVCR2",37.7261904761905,8,659.807174887892,5,"checkpoint"
"735","LGALS9","HAVCR2",32.0089686098655,5,735.2625,6,"checkpoint"
"4","BTLA","CD247",66.8571428571429,8,345.717488789238,5,"checkpoint"
"13","BTLA","CD247",84.0178571428571,7,266.455497382199,4,"checkpoint"
"359","TNFSF4","TRAF2",407.714285714286,8,54.21875,6,"checkpoint"
"365","TNFSF4","TRAF2",236.357142857143,7,91.8928571428571,8,"checkpoint"
"736","LGALS9","HAVCR2",32.0089686098655,5,659.807174887892,5,"checkpoint"
"14","BTLA","CD247",84.0178571428571,7,250.150537634409,3,"checkpoint"
"373","TNFSF4","TRAF2",220.05,6,91.8928571428571,8,"checkpoint"
"18","BTLA","CD247",38.91875,6,490.738095238095,7,"checkpoint"
"225","CD70","CD27",66.1309523809524,8,287.602094240838,4,"checkpoint"
"230","CD70","CD27",28.7559523809524,7,648.089285714286,7,"checkpoint"
"229","CD70","CD27",28.7559523809524,7,642.982142857143,8,"checkpoint"
"5","BTLA","CD247",66.8571428571429,8,266.455497382199,4,"checkpoint"
"360","TNFSF4","TRAF2",407.714285714286,8,41.322869955157,5,"checkpoint"
"6","BTLA","CD247",66.8571428571429,8,250.150537634409,3,"checkpoint"
"231","CD70","CD27",28.7559523809524,7,577.45,6,"checkpoint"
"366","TNFSF4","TRAF2",236.357142857143,7,67.6369047619048,7,"checkpoint"
"226","CD70","CD27",66.1309523809524,8,240.629032258065,3,"checkpoint"
"17","BTLA","CD247",38.91875,6,406.589285714286,8,"checkpoint"
"361","TNFSF4","TRAF2",407.714285714286,8,38.4712041884817,4,"checkpoint"
"254","CD70","CD27",23.8429319371728,4,648.089285714286,7,"checkpoint"
"232","CD70","CD27",28.7559523809524,7,536.820627802691,5,"checkpoint"
"253","CD70","CD27",23.8429319371728,4,642.982142857143,8,"checkpoint"
"381","TNFSF4","TRAF2",165.488789237668,5,91.8928571428571,8,"checkpoint"
"19","BTLA","CD247",38.91875,6,389.73125,6,"checkpoint"
"246","CD70","CD27",23.0089686098655,5,648.089285714286,7,"checkpoint"
"374","TNFSF4","TRAF2",220.05,6,67.6369047619048,7,"checkpoint"
"245","CD70","CD27",23.0089686098655,5,642.982142857143,8,"checkpoint"
"15","BTLA","CD247",84.0178571428571,7,174.59375,2,"checkpoint"
"741","LGALS9","HAVCR2",16.717277486911,4,875.589285714286,8,"checkpoint"
"757","LGALS9","HAVCR2",16.6041666666667,2,875.589285714286,8,"checkpoint"
"729","LGALS9","HAVCR2",47.71875,6,300.905759162304,4,"checkpoint"
"749","LGALS9","HAVCR2",15.9516129032258,3,875.589285714286,8,"checkpoint"
"255","CD70","CD27",23.8429319371728,4,577.45,6,"checkpoint"
"362","TNFSF4","TRAF2",407.714285714286,8,33.6021505376344,3,"checkpoint"
"742","LGALS9","HAVCR2",16.717277486911,4,816.041666666667,7,"checkpoint"
"758","LGALS9","HAVCR2",16.6041666666667,2,816.041666666667,7,"checkpoint"
"20","BTLA","CD247",38.91875,6,345.717488789238,5,"checkpoint"
"730","LGALS9","HAVCR2",47.71875,6,280.252688172043,3,"checkpoint"
"247","CD70","CD27",23.0089686098655,5,577.45,6,"checkpoint"
"16","BTLA","CD247",84.0178571428571,7,158.013966480447,1,"checkpoint"
"238","CD70","CD27",20.23125,6,648.089285714286,7,"checkpoint"
"262","CD70","CD27",20.2258064516129,3,648.089285714286,7,"checkpoint"
"750","LGALS9","HAVCR2",15.9516129032258,3,816.041666666667,7,"checkpoint"
"237","CD70","CD27",20.23125,6,642.982142857143,8,"checkpoint"
"261","CD70","CD27",20.2258064516129,3,642.982142857143,8,"checkpoint"
"367","TNFSF4","TRAF2",236.357142857143,7,54.21875,6,"checkpoint"
"256","CD70","CD27",23.8429319371728,4,536.820627802691,5,"checkpoint"
"721","LGALS9","HAVCR2",42.4642857142857,7,300.905759162304,4,"checkpoint"
"248","CD70","CD27",23.0089686098655,5,536.820627802691,5,"checkpoint"
"743","LGALS9","HAVCR2",16.717277486911,4,735.2625,6,"checkpoint"
"227","CD70","CD27",66.1309523809524,8,184.645833333333,2,"checkpoint"
"759","LGALS9","HAVCR2",16.6041666666667,2,735.2625,6,"checkpoint"
"375","TNFSF4","TRAF2",220.05,6,54.21875,6,"checkpoint"
"722","LGALS9","HAVCR2",42.4642857142857,7,280.252688172043,3,"checkpoint"
"731","LGALS9","HAVCR2",47.71875,6,249.348958333333,2,"checkpoint"
"190","CD40LG","ITGB2",16.425,6,721.208333333333,7,"checkpoint"
"591","CD86","CTLA4",71.7142857142857,7,164.2875,6,"checkpoint"
"751","LGALS9","HAVCR2",15.9516129032258,3,735.2625,6,"checkpoint"
"239","CD70","CD27",20.23125,6,577.45,6,"checkpoint"
"263","CD70","CD27",20.2258064516129,3,577.45,6,"checkpoint"
"7","BTLA","CD247",66.8571428571429,8,174.59375,2,"checkpoint"
"590","CD86","CTLA4",71.7142857142857,7,162.494047619048,7,"checkpoint"
"445","CD274","PDCD1",24.1937172774869,4,475.761904761905,8,"checkpoint"
"191","CD40LG","ITGB2",16.425,6,700.04375,6,"checkpoint"
"713","LGALS9","HAVCR2",37.7261904761905,8,300.905759162304,4,"checkpoint"
"382","TNFSF4","TRAF2",165.488789237668,5,67.6369047619048,7,"checkpoint"
"744","LGALS9","HAVCR2",16.717277486911,4,659.807174887892,5,"checkpoint"
"760","LGALS9","HAVCR2",16.6041666666667,2,659.807174887892,5,"checkpoint"
"240","CD70","CD27",20.23125,6,536.820627802691,5,"checkpoint"
"264","CD70","CD27",20.2258064516129,3,536.820627802691,5,"checkpoint"
"189","CD40LG","ITGB2",16.425,6,644.946428571429,8,"checkpoint"
"723","LGALS9","HAVCR2",42.4642857142857,7,249.348958333333,2,"checkpoint"
"714","LGALS9","HAVCR2",37.7261904761905,8,280.252688172043,3,"checkpoint"
"8","BTLA","CD247",66.8571428571429,8,158.013966480447,1,"checkpoint"
"752","LGALS9","HAVCR2",15.9516129032258,3,659.807174887892,5,"checkpoint"
"21","BTLA","CD247",38.91875,6,266.455497382199,4,"checkpoint"
"589","CD86","CTLA4",71.7142857142857,7,144.202380952381,8,"checkpoint"
"192","CD40LG","ITGB2",16.425,6,607.843049327354,5,"checkpoint"
"368","TNFSF4","TRAF2",236.357142857143,7,41.322869955157,5,"checkpoint"
"22","BTLA","CD247",38.91875,6,250.150537634409,3,"checkpoint"
"737","LGALS9","HAVCR2",32.0089686098655,5,300.905759162304,4,"checkpoint"
"446","CD274","PDCD1",24.1937172774869,4,397.327380952381,7,"checkpoint"
"363","TNFSF4","TRAF2",407.714285714286,8,23.375,2,"checkpoint"
"583","CD86","CTLA4",57.9345238095238,8,164.2875,6,"checkpoint"
