"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"769","CCL5","CXCR3",5132.66666666667,7,377.928571428571,8,"cytokine"
"771","CCL5","CXCR3",5132.66666666667,7,346.55,6,"cytokine"
"770","CCL5","CXCR3",5132.66666666667,7,340.690476190476,7,"cytokine"
"889","CXCL13","CXCR3",4331.07142857143,8,377.928571428571,8,"cytokine"
"772","CCL5","CXCR3",5132.66666666667,7,296.14798206278,5,"cytokine"
"785","CCL5","CXCR3",4005.80269058296,5,377.928571428571,8,"cytokine"
"891","CXCL13","CXCR3",4331.07142857143,8,346.55,6,"cytokine"
"890","CXCL13","CXCR3",4331.07142857143,8,340.690476190476,7,"cytokine"
"777","CCL5","CXCR3",3804.4125,6,377.928571428571,8,"cytokine"
"787","CCL5","CXCR3",4005.80269058296,5,346.55,6,"cytokine"
"786","CCL5","CXCR3",4005.80269058296,5,340.690476190476,7,"cytokine"
"779","CCL5","CXCR3",3804.4125,6,346.55,6,"cytokine"
"594","CCL5","CCR1",5132.66666666667,7,253.64880952381,7,"cytokine"
"778","CCL5","CXCR3",3804.4125,6,340.690476190476,7,"cytokine"
"892","CXCL13","CXCR3",4331.07142857143,8,296.14798206278,5,"cytokine"
"773","CCL5","CXCR3",5132.66666666667,7,242.109947643979,4,"cytokine"
"788","CCL5","CXCR3",4005.80269058296,5,296.14798206278,5,"cytokine"
"761","CCL5","CXCR3",3134.80952380952,8,377.928571428571,8,"cytokine"
"780","CCL5","CXCR3",3804.4125,6,296.14798206278,5,"cytokine"
"763","CCL5","CXCR3",3134.80952380952,8,346.55,6,"cytokine"
"762","CCL5","CXCR3",3134.80952380952,8,340.690476190476,7,"cytokine"
"793","CCL5","CXCR3",2804.65445026178,4,377.928571428571,8,"cytokine"
"893","CXCL13","CXCR3",4331.07142857143,8,242.109947643979,4,"cytokine"
"706","CCL5","CCR5",5132.66666666667,7,202.815476190476,7,"cytokine"
"610","CCL5","CCR1",4005.80269058296,5,253.64880952381,7,"cytokine"
"774","CCL5","CXCR3",5132.66666666667,7,192.424731182796,3,"cytokine"
"801","CCL5","CXCR3",2587.40860215054,3,377.928571428571,8,"cytokine"
"795","CCL5","CXCR3",2804.65445026178,4,346.55,6,"cytokine"
"789","CCL5","CXCR3",4005.80269058296,5,242.109947643979,4,"cytokine"
"602","CCL5","CCR1",3804.4125,6,253.64880952381,7,"cytokine"
"794","CCL5","CXCR3",2804.65445026178,4,340.690476190476,7,"cytokine"
"764","CCL5","CXCR3",3134.80952380952,8,296.14798206278,5,"cytokine"
"781","CCL5","CXCR3",3804.4125,6,242.109947643979,4,"cytokine"
"803","CCL5","CXCR3",2587.40860215054,3,346.55,6,"cytokine"
"802","CCL5","CXCR3",2587.40860215054,3,340.690476190476,7,"cytokine"
"705","CCL5","CCR5",5132.66666666667,7,165.952380952381,8,"cytokine"
"707","CCL5","CCR5",5132.66666666667,7,164.8125,6,"cytokine"
"894","CXCL13","CXCR3",4331.07142857143,8,192.424731182796,3,"cytokine"
