"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"218","TGFB1","CXCR4",18.4301675977654,1,5682.6592178771,1,"growth factor"
"217","TGFB1","CXCR4",18.4301675977654,1,4357.15104166667,2,"growth factor"
"216","TGFB1","CXCR4",18.4301675977654,1,3096.17741935484,3,"growth factor"
"202","TGFB1","CXCR4",9.33870967741935,3,5682.6592178771,1,"growth factor"
"215","TGFB1","CXCR4",18.4301675977654,1,2688.92146596859,4,"growth factor"
"214","TGFB1","CXCR4",18.4301675977654,1,2213.92825112108,5,"growth factor"
"201","TGFB1","CXCR4",9.33870967741935,3,4357.15104166667,2,"growth factor"
"212","TGFB1","CXCR4",18.4301675977654,1,2087.32738095238,7,"growth factor"
"194","TGFB1","CXCR4",6.63874345549738,4,5682.6592178771,1,"growth factor"
"213","TGFB1","CXCR4",18.4301675977654,1,1974.91875,6,"growth factor"
"210","TGFB1","CXCR4",6.09375,2,5682.6592178771,1,"growth factor"
"211","TGFB1","CXCR4",18.4301675977654,1,1863.67261904762,8,"growth factor"
"193","TGFB1","CXCR4",6.63874345549738,4,4357.15104166667,2,"growth factor"
"200","TGFB1","CXCR4",9.33870967741935,3,3096.17741935484,3,"growth factor"
"209","TGFB1","CXCR4",6.09375,2,4357.15104166667,2,"growth factor"
"199","TGFB1","CXCR4",9.33870967741935,3,2688.92146596859,4,"growth factor"
"198","TGFB1","CXCR4",9.33870967741935,3,2213.92825112108,5,"growth factor"
"192","TGFB1","CXCR4",6.63874345549738,4,3096.17741935484,3,"growth factor"
"196","TGFB1","CXCR4",9.33870967741935,3,2087.32738095238,7,"growth factor"
"208","TGFB1","CXCR4",6.09375,2,3096.17741935484,3,"growth factor"
"197","TGFB1","CXCR4",9.33870967741935,3,1974.91875,6,"growth factor"
"191","TGFB1","CXCR4",6.63874345549738,4,2688.92146596859,4,"growth factor"
"195","TGFB1","CXCR4",9.33870967741935,3,1863.67261904762,8,"growth factor"
"207","TGFB1","CXCR4",6.09375,2,2688.92146596859,4,"growth factor"
"190","TGFB1","CXCR4",6.63874345549738,4,2213.92825112108,5,"growth factor"
"188","TGFB1","CXCR4",6.63874345549738,4,2087.32738095238,7,"growth factor"
"206","TGFB1","CXCR4",6.09375,2,2213.92825112108,5,"growth factor"
"189","TGFB1","CXCR4",6.63874345549738,4,1974.91875,6,"growth factor"
"204","TGFB1","CXCR4",6.09375,2,2087.32738095238,7,"growth factor"
"187","TGFB1","CXCR4",6.63874345549738,4,1863.67261904762,8,"growth factor"
"205","TGFB1","CXCR4",6.09375,2,1974.91875,6,"growth factor"
"203","TGFB1","CXCR4",6.09375,2,1863.67261904762,8,"growth factor"
"56","HBEGF","CD44",9.13125,6,1016.96648044693,1,"growth factor"
"51","HBEGF","CD44",9.13125,6,980.625,6,"growth factor"
"50","HBEGF","CD44",9.13125,6,954.017857142857,7,"growth factor"
"52","HBEGF","CD44",9.13125,6,950.654708520179,5,"growth factor"
"55","HBEGF","CD44",9.13125,6,855.234375,2,"growth factor"
"54","HBEGF","CD44",9.13125,6,799.983870967742,3,"growth factor"
"53","HBEGF","CD44",9.13125,6,799.188481675393,4,"growth factor"
"65","HBEGF","CD82",9.13125,6,723.333333333333,8,"growth factor"
"49","HBEGF","CD44",9.13125,6,648.065476190476,8,"growth factor"
"67","HBEGF","CD82",9.13125,6,622.26875,6,"growth factor"
"64","HBEGF","CD44",5.51396648044693,1,1016.96648044693,1,"growth factor"
"59","HBEGF","CD44",5.51396648044693,1,980.625,6,"growth factor"
"58","HBEGF","CD44",5.51396648044693,1,954.017857142857,7,"growth factor"
"60","HBEGF","CD44",5.51396648044693,1,950.654708520179,5,"growth factor"
"68","HBEGF","CD82",9.13125,6,518.286995515695,5,"growth factor"
"63","HBEGF","CD44",5.51396648044693,1,855.234375,2,"growth factor"
"66","HBEGF","CD82",9.13125,6,497.535714285714,7,"growth factor"
"62","HBEGF","CD44",5.51396648044693,1,799.983870967742,3,"growth factor"
"61","HBEGF","CD44",5.51396648044693,1,799.188481675393,4,"growth factor"
"73","HBEGF","CD82",5.51396648044693,1,723.333333333333,8,"growth factor"
"57","HBEGF","CD44",5.51396648044693,1,648.065476190476,8,"growth factor"
"75","HBEGF","CD82",5.51396648044693,1,622.26875,6,"growth factor"
"69","HBEGF","CD82",9.13125,6,365.439790575916,4,"growth factor"
"76","HBEGF","CD82",5.51396648044693,1,518.286995515695,5,"growth factor"
"74","HBEGF","CD82",5.51396648044693,1,497.535714285714,7,"growth factor"
"115","PDGFD","PDGFRA",29.4583333333333,7,91.125,8,"growth factor"
"117","PDGFD","PDGFRA",29.4583333333333,7,90.41875,6,"growth factor"
"336","TGFB1","TGFBR2",18.4301675977654,1,130.571428571429,7,"growth factor"
"70","HBEGF","CD82",9.13125,6,251.069892473118,3,"growth factor"
"116","PDGFD","PDGFRA",29.4583333333333,7,75.5059523809524,7,"growth factor"
"71","HBEGF","CD82",9.13125,6,233.786458333333,2,"growth factor"
"77","HBEGF","CD82",5.51396648044693,1,365.439790575916,4,"growth factor"
"335","TGFB1","TGFBR2",18.4301675977654,1,108.529761904762,8,"growth factor"
"337","TGFB1","TGFBR2",18.4301675977654,1,108.26875,6,"growth factor"
"107","PDGFD","PDGFRA",20.8928571428571,8,91.125,8,"growth factor"
"109","PDGFD","PDGFRA",20.8928571428571,8,90.41875,6,"growth factor"
"338","TGFB1","TGFBR2",18.4301675977654,1,100.304932735426,5,"growth factor"
"339","TGFB1","TGFBR2",18.4301675977654,1,100.031413612565,4,"growth factor"
"118","PDGFD","PDGFRA",29.4583333333333,7,61.2735426008969,5,"growth factor"
