"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"545","B2M","CD3D",35541.9583333333,7,1267.32142857143,7,"other"
"553","B2M","CD3D",30782.46875,6,1267.32142857143,7,"other"
"561","B2M","CD3D",29295.2780269058,5,1267.32142857143,7,"other"
"537","B2M","CD3D",29210.9345238095,8,1267.32142857143,7,"other"
"569","B2M","CD3D",23817.9214659686,4,1267.32142857143,7,"other"
"546","B2M","CD3D",35541.9583333333,7,808.95625,6,"other"
"577","B2M","CD3D",22182.2150537634,3,1267.32142857143,7,"other"
"544","B2M","CD3D",35541.9583333333,7,770.934523809524,8,"other"
"585","B2M","CD3D",20349.7916666667,2,1267.32142857143,7,"other"
"554","B2M","CD3D",30782.46875,6,808.95625,6,"other"
"552","B2M","CD3D",30782.46875,6,770.934523809524,8,"other"
"562","B2M","CD3D",29295.2780269058,5,808.95625,6,"other"
"593","B2M","CD3D",18646.9273743017,1,1267.32142857143,7,"other"
"538","B2M","CD3D",29210.9345238095,8,808.95625,6,"other"
"609","B2M","CD3G",35541.9583333333,7,651.279761904762,7,"other"
"547","B2M","CD3D",35541.9583333333,7,643.937219730942,5,"other"
"560","B2M","CD3D",29295.2780269058,5,770.934523809524,8,"other"
"536","B2M","CD3D",29210.9345238095,8,770.934523809524,8,"other"
"961","B2M","KLRD1",35541.9583333333,7,607.380952380952,7,"other"
"617","B2M","CD3G",30782.46875,6,651.279761904762,7,"other"
"555","B2M","CD3D",30782.46875,6,643.937219730942,5,"other"
"570","B2M","CD3D",23817.9214659686,4,808.95625,6,"other"
"625","B2M","CD3G",29295.2780269058,5,651.279761904762,7,"other"
"548","B2M","CD3D",35541.9583333333,7,535.282722513089,4,"other"
"601","B2M","CD3G",29210.9345238095,8,651.279761904762,7,"other"
"563","B2M","CD3D",29295.2780269058,5,643.937219730942,5,"other"
"539","B2M","CD3D",29210.9345238095,8,643.937219730942,5,"other"
"960","B2M","KLRD1",35541.9583333333,7,527.404761904762,8,"other"
"969","B2M","KLRD1",30782.46875,6,607.380952380952,7,"other"
"962","B2M","KLRD1",35541.9583333333,7,525.175,6,"other"
"681","B2M","HLA-F",35541.9583333333,7,519.011904761905,7,"other"
"568","B2M","CD3D",23817.9214659686,4,770.934523809524,8,"other"
"549","B2M","CD3D",35541.9583333333,7,507.903225806452,3,"other"
"578","B2M","CD3D",22182.2150537634,3,808.95625,6,"other"
"977","B2M","KLRD1",29295.2780269058,5,607.380952380952,7,"other"
"953","B2M","KLRD1",29210.9345238095,8,607.380952380952,7,"other"
"481","B2M","CD247",35541.9583333333,7,490.738095238095,7,"other"
"576","B2M","CD3D",22182.2150537634,3,770.934523809524,8,"other"
"610","B2M","CD3G",35541.9583333333,7,471.14375,6,"other"
"556","B2M","CD3D",30782.46875,6,535.282722513089,4,"other"
"586","B2M","CD3D",20349.7916666667,2,808.95625,6,"other"
"682","B2M","HLA-F",35541.9583333333,7,458.35625,6,"other"
"968","B2M","KLRD1",30782.46875,6,527.404761904762,8,"other"
"970","B2M","KLRD1",30782.46875,6,525.175,6,"other"
"689","B2M","HLA-F",30782.46875,6,519.011904761905,7,"other"
"550","B2M","CD3D",35541.9583333333,7,445.348958333333,2,"other"
"584","B2M","CD3D",20349.7916666667,2,770.934523809524,8,"other"
"564","B2M","CD3D",29295.2780269058,5,535.282722513089,4,"other"
"540","B2M","CD3D",29210.9345238095,8,535.282722513089,4,"other"
"557","B2M","CD3D",30782.46875,6,507.903225806452,3,"other"
"680","B2M","HLA-F",35541.9583333333,7,438.375,8,"other"
"633","B2M","CD3G",23817.9214659686,4,651.279761904762,7,"other"
"976","B2M","KLRD1",29295.2780269058,5,527.404761904762,8,"other"
"952","B2M","KLRD1",29210.9345238095,8,527.404761904762,8,"other"
"978","B2M","KLRD1",29295.2780269058,5,525.175,6,"other"
"954","B2M","KLRD1",29210.9345238095,8,525.175,6,"other"
"571","B2M","CD3D",23817.9214659686,4,643.937219730942,5,"other"
"697","B2M","HLA-F",29295.2780269058,5,519.011904761905,7,"other"
"673","B2M","HLA-F",29210.9345238095,8,519.011904761905,7,"other"
"489","B2M","CD247",30782.46875,6,490.738095238095,7,"other"
"594","B2M","CD3D",18646.9273743017,1,808.95625,6,"other"
"683","B2M","HLA-F",35541.9583333333,7,420.372197309417,5,"other"
"611","B2M","CD3G",35541.9583333333,7,419.417040358744,5,"other"
"565","B2M","CD3D",29295.2780269058,5,507.903225806452,3,"other"
"541","B2M","CD3D",29210.9345238095,8,507.903225806452,3,"other"
"618","B2M","CD3G",30782.46875,6,471.14375,6,"other"
"985","B2M","KLRD1",23817.9214659686,4,607.380952380952,7,"other"
"480","B2M","CD247",35541.9583333333,7,406.589285714286,8,"other"
